Entity,Code,Year,"Age-standardized deaths that are from infectious and parasitic diseases per 100,000 people, in both sexes aged all ages"
Armenia,ARM,2011,8.847551
Armenia,ARM,2012,8.980151
Armenia,ARM,2013,7.892883
Armenia,ARM,2014,8.87265
Armenia,ARM,2021,5.4102435
Armenia,ARM,2020,5.142853
Armenia,ARM,2019,5.405173
Armenia,ARM,2018,5.4353456
Armenia,ARM,2017,5.7679305
Armenia,ARM,2016,7.5696406
Armenia,ARM,2015,9.314965
Australia,AUS,1950,38.21757
Australia,AUS,1951,39.83225
Australia,AUS,1952,31.280287
Australia,AUS,1953,26.912317
Australia,AUS,1954,24.339647
Australia,AUS,1955,21.036613
Australia,AUS,1956,20.302174
Australia,AUS,1957,17.060429
Australia,AUS,1958,16.131025
Australia,AUS,1959,15.553942
Australia,AUS,1960,14.405522
Australia,AUS,1961,13.795779
Australia,AUS,1962,13.922313
Australia,AUS,1963,12.082544
Australia,AUS,1964,11.966211
Australia,AUS,1965,10.3651285
Australia,AUS,1966,10.317146
Australia,AUS,1967,10.3737135
Australia,AUS,1968,8.706577
Australia,AUS,1969,8.1380825
Australia,AUS,1970,7.9669514
Australia,AUS,1971,7.4864717
Australia,AUS,1972,6.5630293
Australia,AUS,1973,6.558679
Australia,AUS,1974,6.3983784
Australia,AUS,1975,5.636777
Australia,AUS,1976,5.2754765
Australia,AUS,1977,4.837631
Australia,AUS,1978,4.6143837
Australia,AUS,1979,4.019751
Australia,AUS,1980,3.9870067
Australia,AUS,1981,3.909757
Australia,AUS,1982,3.800162
Australia,AUS,1983,3.9637313
Australia,AUS,1984,3.6387799
Australia,AUS,1985,4.2582355
Australia,AUS,1986,3.974147
Australia,AUS,1987,4.701152
Australia,AUS,1988,5.065401
Australia,AUS,1989,5.9024787
Australia,AUS,1990,6.3326244
Australia,AUS,1991,6.474162
Australia,AUS,1992,6.940518
Australia,AUS,1993,7.439564
Australia,AUS,1994,7.425783
Australia,AUS,1995,7.230316
